"hourlyTime","year","month","day","hour","price","volumeBTC","volumeUSD"
"13/05/23:03","13","05","23","03",119.47488372093,131.15112254,15669.265115336
"13/05/23:04","13","05","23","04",119.511234042553,308.96849015,36925.2055380909
"13/05/23:05","13","05","23","05",119.54543956044,207.20154026,24769.9992079818
"13/05/23:06","13","05","23","06",119.694068767908,709.60603689,84935.6337776345
"13/05/23:07","13","05","23","07",119.986666666667,805.63121769,96665.0043732308
"13/05/23:08","13","05","23","08",120.343476070529,1169.89329041,140789.025199528
"13/05/23:09","13","05","23","09",120.533955823293,469.54529928,56596.1523604505
"13/05/23:10","13","05","23","10",120.821727272727,784.22726185,94751.6923510784
"13/05/23:11","13","05","23","11",121.388716049383,868.77783147,105459.82549431
"13/05/23:12","13","05","23","12",121.487018867925,399.37539609,48518.9262801707
"13/05/23:13","13","05","23","13",121.63497716895,167.93526595,20426.8022396898
"13/05/23:14","13","05","23","14",122.325032497679,1100.28458869,134592.348068199
"13/05/23:15","13","05","23","15",123.43509167842,699.11142235,86294.8825112031
"13/05/23:16","13","05","23","16",123.500649819495,547.87153235,67662.4902628273
"13/05/23:17","13","05","23","17",123.508346456693,249.73127687,30843.8970647323
"13/05/23:18","13","05","23","18",123.887131782946,165.84000448,20545.4424898981
"13/05/23:19","13","05","23","19",123.936016949153,251.1417687,31125.5105022433
"13/05/23:20","13","05","23","20",124.022945205479,287.18536371,35617.574627221
"13/05/23:21","13","05","23","21",124.10928,155.52421907,19301.99885134
"13/05/23:22","13","05","23","22",123.873125,145.53198135,18027.5013172662
"13/05/23:23","13","05","23","23",123.762666666667,221.44869679,27407.0812445885
"13/05/24:00","13","05","24","00",123.16076433121,182.41525685,22466.40245932
"13/05/24:01","13","05","24","01",123.74,201.56759024,24941.9736162976
"13/05/24:02","13","05","24","02",123.920272727273,179.85311079,22287.4465399452
